Codigo;Estacao;CodigoAdicional;Latitude;Longitude;Altitude;AreaDrenagem;TipoEstacao;Bacia;BaciaCodigo;SubBacia;SubBaciaCodigo;RioCodigo;Rio;Jurisdicao;EstadoNome;EstadoSigla;EstadoCodigo;MunicipioCodigo;Municipio;OperadoraCodigo;OperadoraSigla;OperadoraNome;ResponsavelCodigo;ResponsavelSigla;ResponsavelNome
10013100;TERMAS DE PAPALLACTA;SC-3;-0,36;-78,05;NA;NA;1;RIO AMAZONAS;1;RIO SOLIMÕES, JAVARI,ITACUAI;10;10000090;RIO NAPO;3;EQUADOR;EQ;68;6,8e+07;EQUADOR;908;EQUADOR;Equador;908;EQUADOR;Equador
10018400;PAPALLACTA SECTOR VÍA ANTIGUA A PAPALLACTA;DHN-CNAP-08;-0,37;-78,14;NA;NA;1;RIO AMAZONAS;1;RIO SOLIMÕES, JAVARI,ITACUAI;10;10000090;RIO NAPO;3;EQUADOR;EQ;68;6,8e+07;EQUADOR;908;EQUADOR;Equador;908;EQUADOR;Equador
10013120;RIO PAPALACTA;SC-4;-0,39;-78,05;NA;NA;1;RIO AMAZONAS;1;RIO SOLIMÕES, JAVARI,ITACUAI;10;10000090;RIO NAPO;3;EQUADOR;EQ;68;6,8e+07;EQUADOR;908;EQUADOR;Equador;908;EQUADOR;Equador
10013800;COCA EN SAN SEBASTIAN;H-1134;-0,34;-77;290;5300;1;RIO AMAZONAS;1;RIO SOLIMÕES, JAVARI,ITACUAI;10;10000090;RIO NAPO;3;EQUADOR;EQ;68;6,8e+07;EQUADOR;908;EQUADOR;Equador;908;EQUADOR;Equador
10018200;PACAYACU SECTOR BELLAVISTA;DHN-CNAP-06;-0,0056;-76,64;NA;NA;1;RIO AMAZONAS;1;RIO SOLIMÕES, JAVARI,ITACUAI;10;10000090;RIO NAPO;3;EQUADOR;EQ;68;6,8e+07;EQUADOR;908;EQUADOR;Equador;908;EQUADOR;Equador
10017280;PACAYACU SECTOR PUENTE;DHN-CNAP-23;0,06;-77,55;NA;NA;1;RIO AMAZONAS;1;RIO SOLIMÕES, JAVARI,ITACUAI;10;10000090;RIO NAPO;3;EQUADOR;EQ;68;6,8e+07;EQUADOR;908;EQUADOR;Equador;908;EQUADOR;Equador
10014250;RIO DE LA PARKE;SC-13;-0,32;-76,87;NA;NA;1;RIO AMAZONAS;1;RIO SOLIMÕES, JAVARI,ITACUAI;10;10000090;RIO NAPO;3;EQUADOR;EQ;68;6,8e+07;EQUADOR;908;EQUADOR;Equador;908;EQUADOR;Equador
10014150;RIO SUNO;SC-15;-0,69;-77,31;NA;NA;1;RIO AMAZONAS;1;RIO SOLIMÕES, JAVARI,ITACUAI;10;10000090;RIO NAPO;3;EQUADOR;EQ;68;6,8e+07;EQUADOR;908;EQUADOR;Equador;908;EQUADOR;Equador
10017200;ROSA FLORIDA SECTOR EL PARAISO (PUENTE);DHN-CNAP-02;0,25;-77,47;NA;NA;1;RIO AMAZONAS;1;RIO SOLIMÕES, JAVARI,ITACUAI;10;10000090;RIO NAPO;3;EQUADOR;EQ;68;6,8e+07;EQUADOR;908;EQUADOR;Equador;908;EQUADOR;Equador
10018600;PACAYACU SECTOR PLAYA ORIENTAL;DHN-CSMP-03;0,24;-76,51;NA;NA;1;RIO AMAZONAS;1;RIO SOLIMÕES, JAVARI,ITACUAI;10;10000090;RIO NAPO;3;EQUADOR;EQ;68;6,8e+07;EQUADOR;908;EQUADOR;Equador;908;EQUADOR;Equador
